id,title,details,color,category,x,y,value,effort,created_at,updated_at,created_by,updated_by
1,Prioritize CommMgmt Strategy,Establish clear communication management strategy and framework,pink,Strategic/Process,10.0,15.0,High,Low,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
2,Strategic Direction,Define clear strategic direction for technology investments,blue,People/Organization,5.0,20.0,High,Low,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
3,Cannot 'justify' tech invest,Need framework to justify and measure ROI on technology investments,green,Technology/Platform,20.0,10.0,High,Low,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
4,No prioritization marketing,Implement marketing prioritization framework,green,Technology/Platform,15.0,25.0,High,Low,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
5,Do I have right people in roles,Skills assessment and organizational alignment needed,blue,People/Organization,25.0,18.0,High,Low,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
6,Back to Shots - CJA,Return to basic CJA implementation,yellow,Quick Implementation,8.0,30.0,High,Low,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
7,Build hurdling warehouse,Create comprehensive data warehouse solution,pink,Strategic/Process,45.0,8.0,High,Medium,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
8,Align tools vs Campaign Member,Align technology tools with campaign member needs,yellow,Quick Implementation,40.0,25.0,High,Medium,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
9,Marketing Activity Data,Migrate marketing activity data to specific roles,pink,Strategic/Process,50.0,15.0,High,Medium,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
10,Campaign Orchestration,No scale view of complete campaign activity - need comprehensive tracking,pink,Strategic/Process,65.0,10.0,High,High,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
11,Campaign Tracking,Implement comprehensive campaign tracking system,pink,Strategic/Process,70.0,20.0,High,High,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
12,Governance Standards,"Governance around things: AEMI, content alignment from other tech",pink,Strategic/Process,80.0,15.0,High,High,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
13,Supposed to differentiate,Supposed to differentiate on experience - foundational follow,pink,Strategic/Process,75.0,25.0,High,High,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
14,AI/O Implementation,AI/O or some sort of experience orchestration,green,Technology/Platform,85.0,18.0,High,High,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
15,Lead/Person Source,Implement lead/person source data warehouse,pink,Strategic/Process,68.0,30.0,High,High,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
16,AEM Developer Team,Build AEM Developer team with appropriate roles and skills,pink,Strategic/Process,85.0,35.0,Medium,High,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
17,Contact Remediation Process,Implement contact remediation processes,yellow,Quick Implementation,10.0,45.0,Medium,Low,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
18,Different template for journey,Create different templates for voter journey campaigns,green,Technology/Platform,15.0,50.0,Medium,Low,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
19,What-if Chat,Implement what-if chat functionality,green,Technology/Platform,8.0,55.0,Medium,Low,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
20,Scalable Email Execution,Build scalable email execution framework,yellow,Quick Implementation,35.0,48.0,Medium,Medium,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
21,Missing big talent on AEM,Critical talent gap in AEM expertise,green,Technology/Platform,40.0,53.0,Medium,Medium,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
22,CDP Implementation,Customer Data Platform implementation - foundational need,pink,Strategic/Process,45.0,45.0,Medium,Medium,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
23,Multiple redundant items,Multiple items in Tech Stack Page 26 do the same thing,pink,Strategic/Process,50.0,58.0,Medium,Medium,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
24,SDR Process,SDR process and campaign tracking implementation,green,Technology/Platform,70.0,45.0,Medium,High,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
25,Misconception about CDP,Misconception that CDP will fix all audience/segmentation issues,pink,Strategic/Process,75.0,50.0,Medium,High,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
26,Leverage Chat KPIs,Leverage existing chat KPIs for insights,yellow,Quick Implementation,12.0,75.0,Low,Low,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
27,Technical Chat Platform,Define technical chat platform and strategy,pink,Strategic/Process,18.0,80.0,Low,Low,2025-08-27 22:07:20,2025-08-27 22:07:20,system,
28,DC to BC Admin,Administrative transition requirements,pink,Strategic/Process,45.0,78.0,Low,Medium,2025-08-27 22:07:20,2025-08-27 22:07:20,system,